,w0,w1,w2,w3,a0,a1,a2,a3,direction
177,289.0,102.0,311.0,798.0,1,0,0,0,up
178,287.0,102.0,313.0,798.0,1,0,0,0,up
179,286.0,102.0,314.0,798.0,1,0,0,0,up
180,285.0,102.0,315.0,798.0,1,0,0,0,up
181,284.0,102.0,316.0,798.0,1,0,0,0,up
182,283.0,102.0,317.0,798.0,1,0,0,0,up
183,280.0,102.0,320.0,798.0,1,0,0,0,up
184,279.0,102.0,321.0,798.0,1,0,0,0,up
185,276.0,102.0,324.0,798.0,1,0,0,0,up
186,275.0,102.0,325.0,798.0,1,0,0,0,up
187,272.0,102.0,328.0,798.0,1,0,0,0,up
188,271.0,102.0,329.0,798.0,1,0,0,0,up
189,267.0,102.0,333.0,798.0,1,0,0,0,up
190,266.0,102.0,334.0,798.0,1,0,0,0,up
191,264.0,102.0,336.0,798.0,1,0,0,0,up
192,261.0,102.0,339.0,798.0,1,0,0,0,up
193,257.0,102.0,343.0,798.0,1,0,0,0,up
194,255.0,102.0,345.0,798.0,1,0,0,0,up
195,254.0,102.0,346.0,798.0,1,0,0,0,up
196,252.0,102.0,348.0,798.0,1,0,0,0,up
197,250.0,102.0,350.0,798.0,1,0,0,0,up
198,249.0,102.0,351.0,798.0,1,0,0,0,up
199,248.0,102.0,352.0,798.0,1,0,0,0,up
200,247.0,102.0,353.0,798.0,1,0,0,0,up
201,246.0,102.0,354.0,798.0,1,0,0,0,up
202,245.0,102.0,355.0,798.0,1,0,0,0,up
203,241.0,102.0,359.0,798.0,1,0,0,0,up
204,239.0,102.0,361.0,798.0,1,0,0,0,up
205,238.0,102.0,362.0,798.0,1,0,0,0,up
206,235.0,102.0,365.0,798.0,1,0,0,0,up
207,234.0,102.0,366.0,798.0,1,0,0,0,up
208,232.0,102.0,368.0,798.0,1,0,0,0,up
209,230.0,102.0,370.0,798.0,1,0,0,0,up
210,229.0,102.0,371.0,798.0,1,0,0,0,up
211,228.0,102.0,372.0,798.0,1,0,0,0,up
212,226.0,102.0,374.0,798.0,1,0,0,0,up
213,225.0,102.0,375.0,798.0,1,0,0,0,up
214,223.0,102.0,377.0,798.0,1,0,0,0,up
215,222.0,102.0,378.0,798.0,1,0,0,0,up
216,216.0,102.0,384.0,798.0,1,0,0,0,up
217,215.0,102.0,385.0,798.0,1,0,0,0,up
218,213.0,102.0,387.0,798.0,1,0,0,0,up
219,211.0,102.0,389.0,798.0,1,0,0,0,up
220,210.0,102.0,390.0,798.0,1,0,0,0,up
221,209.0,102.0,391.0,798.0,1,0,0,0,up
222,206.0,102.0,394.0,798.0,1,0,0,0,up
223,205.0,102.0,395.0,798.0,1,0,0,0,up
224,196.0,102.0,404.0,798.0,1,0,0,0,up
225,193.0,102.0,407.0,798.0,1,0,0,0,up
226,192.0,102.0,408.0,798.0,1,0,0,0,up
227,191.0,102.0,409.0,798.0,1,0,0,0,up
228,190.0,102.0,410.0,798.0,1,0,0,0,up
229,188.0,102.0,412.0,798.0,1,0,0,0,up
230,187.0,102.0,413.0,798.0,1,0,0,0,up
231,186.0,102.0,414.0,798.0,1,0,0,0,up
232,182.0,102.0,418.0,798.0,1,0,0,0,up
233,180.0,102.0,420.0,798.0,1,0,0,0,up
234,177.0,102.0,423.0,798.0,1,0,0,0,up
235,176.0,102.0,424.0,798.0,1,0,0,0,up
